country_code,athletes,soccer_athletes,track_athletes,gdp_per_capita_ppp,population,pop_15_24,unemployment,gdp_growth,political_stability,rule_of_law,control_corruption,years_with_conflict_2010_23,disaster_deaths_2010_23,econ_shocks_2010_23,stringency_2020_21,inflation_2023,mean_inflation_2010_23,hyperinflation_event,refugees_origin_2023,refugees_plus_asylum_2010_23_total,log_athletes,log_gdp_pc,log_pop,log_pop_15_24,athletes_per_million,athletes_per_million_15_24,log_athletes_per_million,log_athletes_per_million_15_24,log_disaster_deaths_2010_23,log_refugees_per_cohort,log_inflation_2023,log_mean_inflation_2010_23
ARE,3,0,3,70239.8552855072,10483751.0,1338245.506954247,2.151,0.234354339957449,0.6775,0.8819,1.0737,0.0,0.0,1.0,51.025,1.62670837213248,1.405377483780289,0.0,229.0,5310.0,1.0986122886681098,11.159671168020816,16.16533709266647,14.106869990846103,0.2861571206717901,2.241741133753395,-1.2512142460340858,0.8072528557862801,0.0,0.003960030525511876,0.9657314927910396,0.8777068491539222
ARG,7,0,7,27230.3968496682,45538401.0,6975063.001169843,6.139,-2.13703473540124,-0.1275,-0.4108,-0.3609,0.0,217.0,11.0,69.105,133.488935594175,64.02828242525067,1.0,300.0,15667.0,1.9459101490553132,10.212089159548686,17.634066505993967,15.757851918056696,0.15371642056557935,1.0035751646724875,-1.87264579897438,0.003568788962892187,5.384495062789089,0.0022436257747045314,4.901481932417753,4.1748222894955145
ATG,1,0,1,28474.0444178181,93316.0,13696.610916504407,,1.90488641843235,0.9234,0.3786,0.3268,0.0,1.0,1.0,,5.06713865364212,2.3707396769175197,0.0,67.0,1581.0,0.0,10.256748229115514,11.44374686195053,9.5249037028558,10.71627587980625,73.01076201230194,2.371763696013745,4.290606855108473,0.6931471805599453,0.10923999400829683,1.8028871024392719,1.2151322089797105
AUS,95,3,92,60684.9596204883,26659922.0,3185333.0484206644,3.668,1.09251403364293,0.9171,1.5232,1.7812,0.0,311.0,2.0,58.965,5.59701792296707,2.6486345349111247,0.0,29.0,592.0,4.553876891600541,11.013451164144975,17.098671946979124,14.974067409314557,3.5634012732670413,29.82419689115473,1.270715502585691,3.3953200402502577,5.7430031878094825,0.00018583456915587725,1.8866177170730398,1.29435299757718
AUT,6,1,5,64536.2981841434,9131761.0,950452.4307411048,5.264,-1.76308859891033,0.728,1.7466,1.1337,0.0,945.0,2.0,54.605,7.81413417002831,2.7928598727654865,0.0,23.0,325.0,1.791759469228055,11.074983107037266,16.02726911458544,13.764693393094447,0.6570474194407847,6.312783055667043,-0.41999908739311076,1.8425766340978829,6.852242569051878,0.0003418839665312789,2.176356588680645,1.3331203183822213
BEL,10,0,10,63095.4017281289,11779946.0,1313605.5399914188,5.547,0.852949954251983,0.4039,1.2954,1.3368,0.0,3632.0,2.0,51.105,4.04901077613941,2.49949596971664,0.0,53.0,1530.0,2.302585092994046,11.052403173102622,16.28190915213646,14.088286235082657,0.8489003260286592,7.612635373070462,-0.16381350117814125,2.0298094158756617,8.197814032221203,0.0011640554365861548,1.619192338186129,1.2526189494727378
BFA,2,0,2,2486.20669812871,23025776.0,4278599.280751927,3.601,0.688770925071964,-2.0352,-0.7418,-0.1696,6.0,74.0,3.0,25.675,0.742910428668917,2.002277509716469,0.0,54869.0,321231.0,0.6931471805599453,7.818513413477029,16.952124842035015,15.269136243140833,0.0868591790348347,0.4674426999970227,-2.443467103510794,-0.760478504616614,4.31748811353631,0.07239372214912311,0.5555563760429555,1.09937117054989
BGR,1,0,1,33073.8179631314,6446596.0,592399.9472084101,4.319,1.97332516316222,0.3419,-0.0069,-0.1377,0.0,3026.0,2.0,44.97,9.44284140088564,3.278588927835363,0.0,393.0,20389.0,0.0,10.406497250268387,15.679062797523901,13.291937272261007,0.15512062490033499,1.688048766230213,-1.8635522395596265,0.5235732857032676,8.01532730902172,0.03383858844505096,2.345916710260152,1.4536232654759962
BHR,2,0,2,57819.9051831242,1577059.0,198708.65948395524,1.049,0.42885937985659,-0.374,0.4688,0.1778,0.0,0.0,1.0,49.95,0.0746206782192255,1.4399121530477896,0.0,304.0,6918.0,0.6931471805599453,10.965088375706042,14.271072278054465,12.199595008284586,1.2681833717064486,10.064986625112281,0.23758546046975446,2.309062730239633,0.0,0.03422246262330924,0.07196774184029252,0.8919620358077258
BHS,38,0,38,35221.2696932313,399440.0,58813.29895436987,8.645,2.55756046187126,1.0086,0.1796,1.2669,0.0,390.0,1.0,63.73,3.05291578969742,2.0103225196160444,0.0,1067.0,11655.0,3.6375861597263857,10.469405431747681,12.897818845174491,10.982123281006896,95.13318646104547,646.1123704263247,4.555277872516169,6.470973436683765,5.968707559985366,0.18079494644428637,1.3994365701535925,1.1020472223948012
BIH,1,0,1,19805.0002774731,3185073.0,358107.68218660605,10.668,2.62616849156352,-0.3534,-0.3518,-0.5816,0.0,37.0,2.0,43.065,6.1059011284828,1.9969204243422156,0.0,19318.0,420468.0,0.0,9.893689724066272,14.973985766662949,12.78858900838587,0.3139645464954806,2.7924561514402555,-1.1584752086986747,1.0269215495784045,3.6375861597263857,0.7766324725422633,1.960925583694382,1.0975852362109892
BLR,1,0,1,27782.4380139967,9178298.0,909017.1094147346,3.461,4.69120797390816,-0.7294,-1.2509,-0.665,0.0,49.0,7.0,29.72,5.00059903091312,16.693433248746523,1.0,15071.0,129308.0,0.0,10.232159373940483,16.032352342357296,13.720119195220912,0.1089526620294961,1.1000893048579077,-2.21684178439302,0.09539136274336242,3.912023005428146,0.13300030597646673,1.7918593027300451,2.873193567845506
BMU,1,1,0,103052.348367859,64698.0,6603.910821712756,,4.99991948921101,1.0204,0.6837,1.2514,0.0,0.0,1.0,47.7,,,,5.0,114.0,0.0,11.54299237468446,11.077485568110127,8.795417301271186,15.45642832854184,151.42542456995886,2.738024989854147,5.020093256693087,0.0,0.01711519428373246,,
