country_code,region,event_group
ISL,WEU,Distance
DEU,WEU,Distance
DEU,WEU,Distance
GBR,WEU,Distance
SRB,EEU,Distance
ISL,WEU,Distance
GBR,WEU,Distance
AUS,EAP,Distance
ITA,WEU,Distance
SSD,SSA,Distance
NOR,WEU,Distance
NLD,WEU,Distance
DEU,WEU,Sprints
KEN,SSA,Distance
KEN,SSA,Distance
KEN,SSA,Hurdles
NGA,SSA,Hurdles
BHS,LAC,Hurdles
JAM,LAC,Jumps
BRB,LAC,Jumps
BEL,WEU,Hurdles
KEN,SSA,Distance
KEN,SSA,Distance
JAM,LAC,Sprints
BHS,LAC,Sprints
NGA,SSA,Jumps
KEN,SSA,Distance
NZL,EAP,Throws
SRB,EEU,Distance
KEN,SSA,Distance
CAN,NA,Throws
KEN,SSA,Distance
CAN,NA,Jumps
AUS,EAP,Distance
CAN,NA,Distance
POL,EEU,Distance
DEU,WEU,Throws
ISR,MENA,Throws
ISR,MENA,Throws
AUS,EAP,Multi
ISR,MENA,Throws
POL,EEU,Distance
JAM,LAC,Hurdles
TTO,LAC,Sprints
BRB,LAC,Sprints
TTO,LAC,Jumps
KEN,SSA,Distance
NGA,SSA,Sprints
JAM,LAC,Distance
JAM,LAC,Hurdles
BHR,MENA,Sprints
NOR,WEU,Jumps
ZAF,SSA,Sprints
JAM,LAC,Sprints
KEN,SSA,Distance
GHA,SSA,Sprints
JAM,LAC,Hurdles
BRB,LAC,Sprints
NGA,SSA,Throws
KEN,SSA,Distance
DEU,WEU,Distance
DEU,WEU,Distance
ISR,MENA,Distance
CAN,NA,Distance
GBR,WEU,Distance
GBR,WEU,Distance
GBR,WEU,Distance
KEN,SSA,Distance
KEN,SSA,Distance
GBR,WEU,Distance
GBR,WEU,Throws
ITA,WEU,Sprints
NZL,EAP,MidDistance
JAM,LAC,Sprints
CAN,NA,MidDistance
CHE,WEU,Distance
CAN,NA,Jumps
CAN,NA,Distance
ISR,MENA,Jumps
CAN,NA,MidDistance
NZL,EAP,Distance
ITA,WEU,Sprints
NZL,EAP,MidDistance
JAM,LAC,Sprints
CAN,NA,MidDistance
CHE,WEU,Distance
CAN,NA,Jumps
CAN,NA,Distance
ISR,MENA,Jumps
CAN,NA,MidDistance
NZL,EAP,Distance
GBR,WEU,MidDistance
GRC,WEU,Sprints
GRC,WEU,Sprints
GBR,WEU,Distance
VNM,EAP,Multi
POL,EEU,Sprints
CAN,NA,Distance
TWN,EAP,Jumps
AUS,EAP,Jumps
NZL,EAP,Sprints
ITA,WEU,Sprints
GBR,WEU,Multi
ESP,WEU,Sprints
FRA,WEU,Jumps
CZE,EEU,Distance
GBR,WEU,Sprints
NZL,EAP,Distance
ESP,WEU,Sprints
CAN,NA,Distance
ITA,WEU,Multi
ESP,WEU,Distance
CAN,NA,Jumps
ZAF,SSA,Hurdles
ESP,WEU,Distance
NZL,EAP,MidDistance
GBR,WEU,Distance
JAM,LAC,Throws
CAN,NA,Sprints
JAM,LAC,Sprints
GBR,WEU,Distance
DEU,WEU,Distance
GBR,WEU,Distance
CAN,NA,Distance
CAN,NA,Distance
NZL,EAP,Distance
KEN,SSA,Distance
IRL,WEU,Distance
KEN,SSA,Distance
KEN,SSA,Distance
CZE,EEU,Multi
CAN,NA,Sprints
JAM,LAC,Jumps
NLD,WEU,Throws
GBR,WEU,Distance
GBR,WEU,Jumps
SWE,WEU,Throws
ZAF,SSA,Jumps
BEL,WEU,Jumps
GBR,WEU,Distance
CZE,EEU,Multi
CZE,EEU,Throws
AUS,EAP,Distance
AUS,EAP,Sprints
IRL,WEU,Multi
GBR,WEU,Sprints
JAM,LAC,MidDistance
SWE,WEU,Hurdles
GBR,WEU,MidDistance
CAN,NA,Distance
CAN,NA,Distance
ISR,MENA,Jumps
CZE,EEU,MidDistance
GBR,WEU,Throws
DEU,WEU,Hurdles
CAN,NA,Throws
IRL,WEU,Multi
FRA,WEU,Sprints
POL,EEU,MidDistance
GBR,WEU,Throws
NGA,SSA,Sprints
ZAF,SSA,Sprints
BHS,LAC,Sprints
GBR,WEU,Throws
AUT,WEU,Distance
AUT,WEU,Distance
MEX,LAC,Sprints
BHS,LAC,Sprints
ARG,LAC,Distance
NZL,EAP,Throws
LVA,EEU,Distance
NLD,WEU,Throws
NLD,WEU,Throws
BHS,LAC,Sprints
ESP,WEU,Distance
TUN,MENA,Distance
AUS,EAP,Distance
NZL,EAP,Throws
BHS,LAC,Sprints
GBR,WEU,Throws
KEN,SSA,Distance
GBR,WEU,Distance
ESP,WEU,Distance
DEU,WEU,Distance
GBR,WEU,Distance
SWE,WEU,Distance
GBR,WEU,Distance
GBR,WEU,Distance
GBR,WEU,Distance
GBR,WEU,PoleVault
GBR,WEU,Multi
GBR,WEU,Multi
GBR,WEU,Multi
GBR,WEU,Multi
KEN,SSA,Distance
EST,EEU,PoleVault
CAN,NA,Hurdles
JAM,LAC,Throws
JAM,LAC,Throws
ZAF,SSA,Distance
NGA,SSA,Sprints
NZL,EAP,Distance
NGA,SSA,Jumps
GBR,WEU,Distance
CAN,NA,Multi
CAN,NA,Throws
NGA,SSA,Sprints
BRA,LAC,Jumps
GBR,WEU,Distance
GBR,WEU,Distance
ITA,WEU,MidDistance
POL,EEU,MidDistance
MEX,LAC,Sprints
ESP,WEU,MidDistance
ARG,LAC,PoleVault
HUN,EEU,Jumps
ISL,WEU,Throws
ESP,WEU,Distance
ESP,WEU,Distance
ZAF,SSA,Sprints
JAM,LAC,Throws
ITA,WEU,Jumps
CAN,NA,MidDistance
ITA,WEU,Distance
DEU,WEU,Jumps
ISR,MENA,MidDistance
KEN,SSA,MidDistance
AUS,EAP,MidDistance
JAM,LAC,Sprints
ZWE,SSA,Sprints
GRD,LAC,Throws
GBR,WEU,Distance
DEU,WEU,Throws
SWE,WEU,Distance
JAM,LAC,Sprints
BGR,EEU,Distance
URY,LAC,Throws
GBR,WEU,Multi
EST,EEU,Jumps
TUN,MENA,Hurdles
GBR,WEU,Distance
CAN,NA,Sprints
GBR,WEU,Jumps
LVA,EEU,Distance
ARG,LAC,Distance
GBR,WEU,Distance
EST,EEU,Multi
ZAF,SSA,PoleVault
BHS,LAC,Sprints
MEX,LAC,Sprints
JAM,LAC,Sprints
NGA,SSA,Jumps
NGA,SSA,Sprints
LVA,EEU,MidDistance
MEX,LAC,Sprints
NGA,SSA,Throws
GRC,WEU,PoleVault
ITA,WEU,PoleVault
NGA,SSA,Hurdles
IRL,WEU,Sprints
JAM,LAC,Multi
FRA,WEU,Jumps
GBR,WEU,Hurdles
GBR,WEU,Sprints
GRC,WEU,Jumps
GBR,WEU,Sprints
BEL,WEU,Distance
ESP,WEU,Distance
GBR,WEU,Throws
NLD,WEU,MidDistance
NLD,WEU,Jumps
FRA,WEU,MidDistance
JAM,LAC,Jumps
FRA,WEU,Distance
ZAF,SSA,Sprints
GBR,WEU,Hurdles
FRA,WEU,Distance
SWE,WEU,Distance
NLD,WEU,Multi
EST,EEU,Multi
DEU,WEU,Distance
ISR,MENA,Jumps
ESP,WEU,Distance
EST,EEU,Jumps
GHA,SSA,Jumps
NLD,WEU,Multi
NLD,WEU,Multi
CZE,EEU,Sprints
NLD,WEU,Multi
POL,EEU,Sprints
BRB,LAC,Hurdles
NGA,SSA,Sprints
NGA,SSA,Sprints
AUT,WEU,MidDistance
BEL,WEU,Distance
ZAF,SSA,Distance
AUS,EAP,Distance
ESP,WEU,Jumps
ITA,WEU,Sprints
CAN,NA,MidDistance
NZL,EAP,Hurdles
GBR,WEU,Sprints
CAN,NA,Sprints
DEU,WEU,Throws
LBN,MENA,Sprints
GRC,WEU,Throws
KEN,SSA,Distance
KEN,SSA,Distance
KEN,SSA,Distance
ZAF,SSA,Distance
KEN,SSA,Distance
GBR,WEU,MidDistance
AUS,EAP,Distance
KEN,SSA,Distance
KEN,SSA,Distance
KEN,SSA,Distance
FRA,WEU,Distance
NOR,WEU,Throws
KEN,SSA,Distance
JAM,LAC,Distance
KEN,SSA,Distance
KEN,SSA,Distance
KEN,SSA,Distance
SGP,EAP,Distance
FRA,WEU,Multi
JAM,LAC,Hurdles
CAN,NA,Hurdles
GBR,WEU,Sprints
AUS,EAP,Distance
JAM,LAC,Throws
MEX,LAC,Throws
GTM,LAC,Throws
BHS,LAC,Hurdles
ATG,LAC,Sprints
KEN,SSA,Distance
KEN,SSA,Distance
BFA,SSA,Jumps
NOR,WEU,Distance
BRB,LAC,Sprints
BRB,LAC,Sprints
GBR,WEU,Jumps
CAN,NA,Throws
CAN,NA,Distance
AUS,EAP,Distance
CAN,NA,Multi
JAM,LAC,Jumps
DEU,WEU,Distance
ESP,WEU,Multi
GBR,WEU,Throws
JPN,EAP,PoleVault
EGY,MENA,Jumps
IRL,WEU,Multi
SWE,WEU,PoleVault
ITA,WEU,Multi
DEU,WEU,MidDistance
KEN,SSA,Distance
ESP,WEU,Jumps
GBR,WEU,Multi
DEU,WEU,Distance
BHS,LAC,Throws
GBR,WEU,Distance
EST,EEU,Jumps
IND,SA,Jumps
AUS,EAP,Distance
CAN,NA,Distance
GRC,WEU,PoleVault
NZL,EAP,Throws
DNK,WEU,Distance
GBR,WEU,Distance
AUS,EAP,Distance
KEN,SSA,Distance
KEN,SSA,Distance
KEN,SSA,Distance
RUS,EEU,Jumps
ESP,WEU,MidDistance
AUS,EAP,MidDistance
AUS,EAP,MidDistance
AUS,EAP,Distance
GBR,WEU,Distance
AUS,EAP,Distance
