country_code,entry_year,athletes_entering,stringency_2020_21,pop_15_24,gdp_per_capita_ppp,political_stability,log_entrants,stringency_z
ARE,2020,0,51.025,1338245.506954247,70239.8552855072,0.6775,0.0,-0.06631968985031965
ARE,2021,1,51.025,1338245.506954247,70239.8552855072,0.6775,0.6931471805599453,-0.06631968985031965
ARE,2022,0,51.025,1338245.506954247,70239.8552855072,0.6775,0.0,-0.06631968985031965
ARE,2023,0,51.025,1338245.506954247,70239.8552855072,0.6775,0.0,-0.06631968985031965
ARE,2024,2,51.025,1338245.506954247,70239.8552855072,0.6775,1.0986122886681098,-0.06631968985031965
ARG,2020,2,69.105,6975063.001169843,27230.3968496682,-0.1275,1.0986122886681098,1.4693295425646242
ARG,2021,3,69.105,6975063.001169843,27230.3968496682,-0.1275,1.3862943611198906,1.4693295425646242
ARG,2022,0,69.105,6975063.001169843,27230.3968496682,-0.1275,0.0,1.4693295425646242
ARG,2023,0,69.105,6975063.001169843,27230.3968496682,-0.1275,0.0,1.4693295425646242
ARG,2024,2,69.105,6975063.001169843,27230.3968496682,-0.1275,1.0986122886681098,1.4693295425646242
AUS,2020,11,58.965,3185333.0484206644,60684.9596204883,0.9171,2.4849066497880004,0.60807493987173
AUS,2021,17,58.965,3185333.0484206644,60684.9596204883,0.9171,2.8903717578961645,0.60807493987173
AUS,2022,25,58.965,3185333.0484206644,60684.9596204883,0.9171,3.258096538021482,0.60807493987173
AUS,2023,21,58.965,3185333.0484206644,60684.9596204883,0.9171,3.091042453358316,0.60807493987173
AUS,2024,18,58.965,3185333.0484206644,60684.9596204883,0.9171,2.9444389791664403,0.60807493987173
AUT,2020,3,54.605,950452.4307411048,64536.2981841434,0.728,1.3862943611198906,0.23775244798405507
AUT,2021,1,54.605,950452.4307411048,64536.2981841434,0.728,0.6931471805599453,0.23775244798405507
AUT,2022,0,54.605,950452.4307411048,64536.2981841434,0.728,0.0,0.23775244798405507
AUT,2023,0,54.605,950452.4307411048,64536.2981841434,0.728,0.0,0.23775244798405507
AUT,2024,2,54.605,950452.4307411048,64536.2981841434,0.728,1.0986122886681098,0.23775244798405507
BEL,2020,1,51.105,1313605.5399914188,63095.4017281289,0.4039,0.6931471805599453,-0.05952478174228907
BEL,2021,2,51.105,1313605.5399914188,63095.4017281289,0.4039,1.0986122886681098,-0.05952478174228907
BEL,2022,2,51.105,1313605.5399914188,63095.4017281289,0.4039,1.0986122886681098,-0.05952478174228907
BEL,2023,2,51.105,1313605.5399914188,63095.4017281289,0.4039,1.0986122886681098,-0.05952478174228907
BEL,2024,3,51.105,1313605.5399914188,63095.4017281289,0.4039,1.3862943611198906,-0.05952478174228907
BFA,2020,0,25.675,4278599.280751927,2486.20669812871,-2.0352,0.0,-2.2194561965825548
BFA,2021,0,25.675,4278599.280751927,2486.20669812871,-2.0352,0.0,-2.2194561965825548
BFA,2022,1,25.675,4278599.280751927,2486.20669812871,-2.0352,0.6931471805599453,-2.2194561965825548
BFA,2023,0,25.675,4278599.280751927,2486.20669812871,-2.0352,0.0,-2.2194561965825548
BFA,2024,1,25.675,4278599.280751927,2486.20669812871,-2.0352,0.6931471805599453,-2.2194561965825548
BGR,2020,1,44.97,592399.9472084101,33073.8179631314,0.3419,0.6931471805599453,-0.5806092972768949
BGR,2021,0,44.97,592399.9472084101,33073.8179631314,0.3419,0.0,-0.5806092972768949
BGR,2022,0,44.97,592399.9472084101,33073.8179631314,0.3419,0.0,-0.5806092972768949
BGR,2023,0,44.97,592399.9472084101,33073.8179631314,0.3419,0.0,-0.5806092972768949
BGR,2024,0,44.97,592399.9472084101,33073.8179631314,0.3419,0.0,-0.5806092972768949
BHR,2020,0,49.95,198708.65948395524,57819.9051831242,-0.374,0.0,-0.15762626755198214
BHR,2021,0,49.95,198708.65948395524,57819.9051831242,-0.374,0.0,-0.15762626755198214
BHR,2022,0,49.95,198708.65948395524,57819.9051831242,-0.374,0.0,-0.15762626755198214
BHR,2023,2,49.95,198708.65948395524,57819.9051831242,-0.374,1.0986122886681098,-0.15762626755198214
BHR,2024,0,49.95,198708.65948395524,57819.9051831242,-0.374,0.0,-0.15762626755198214
BHS,2020,5,63.73,58813.29895436987,35221.2696932313,1.0086,1.791759469228055,1.0127966540563094
BHS,2021,8,63.73,58813.29895436987,35221.2696932313,1.0086,2.1972245773362196,1.0127966540563094
BHS,2022,12,63.73,58813.29895436987,35221.2696932313,1.0086,2.5649493574615367,1.0127966540563094
BHS,2023,7,63.73,58813.29895436987,35221.2696932313,1.0086,2.0794415416798357,1.0127966540563094
BHS,2024,6,63.73,58813.29895436987,35221.2696932313,1.0086,1.9459101490553132,1.0127966540563094
BIH,2020,1,43.065,358107.68218660605,19805.0002774731,-0.3534,0.6931471805599453,-0.7424130465993767
BIH,2021,0,43.065,358107.68218660605,19805.0002774731,-0.3534,0.0,-0.7424130465993767
BIH,2022,0,43.065,358107.68218660605,19805.0002774731,-0.3534,0.0,-0.7424130465993767
BIH,2023,0,43.065,358107.68218660605,19805.0002774731,-0.3534,0.0,-0.7424130465993767
BIH,2024,0,43.065,358107.68218660605,19805.0002774731,-0.3534,0.0,-0.7424130465993767
BLR,2020,1,29.72,909017.1094147346,27782.4380139967,-0.7294,0.6931471805599453,-1.8758886553702516
BLR,2021,0,29.72,909017.1094147346,27782.4380139967,-0.7294,0.0,-1.8758886553702516
BLR,2022,0,29.72,909017.1094147346,27782.4380139967,-0.7294,0.0,-1.8758886553702516
