pos,origin,n,pct_priv,pct_R1R2,med_nral_pct,med_recruitK,med_stuaidK,med_sportRevK,med_sportExpK
C,Dom,3477,66.1,29.8,3.5,72.6,1620.8,463.0,132.5
C,Int,86,44.2,30.2,5.1,118.6,3080.4,658.7,194.7
INF,Dom,5512,62.0,32.9,3.3,73.4,2057.9,507.5,134.9
INF,Int,122,50.0,42.6,4.9,154.2,3617.9,658.5,196.9
OF,Dom,4897,65.4,30.1,3.5,72.8,1608.7,461.6,132.0
OF,Int,97,61.9,33.0,4.2,93.5,2809.2,661.8,187.2
P,Dom,16641,63.9,32.0,3.5,76.3,2052.8,493.3,137.1
P,Int,331,54.7,29.0,3.9,113.0,3000.0,648.5,194.7
UTIL,Dom,182,62.6,33.0,3.9,99.5,2086.7,522.0,140.2
UTIL,Int,2,50.0,0.0,3.1,210.6,2711.8,377.4,89.2
