pos,origin,n,pct_priv,pct_R1R2,med_nral_pct,med_recruitK,med_stuaidK,med_sportRevK,med_sportExpK
C,Dom,783,62.1,31.8,3.6,70.8,1484.7,964.4,169.8
C,Int,245,49.4,50.6,4.8,277.0,5858.0,3974.7,806.7
F,Dom,7006,63.5,30.6,3.5,71.5,1496.2,894.3,167.8
F,Int,1016,56.7,44.8,4.7,195.8,4544.9,2788.1,569.6
F/C,Dom,185,61.1,26.5,3.5,73.8,1226.4,745.6,146.6
F/C,Int,41,53.7,48.8,3.6,136.3,3793.4,2788.1,581.4
G,Dom,15363,65.1,30.8,3.5,72.8,1538.1,897.0,167.8
G,Int,1021,61.5,42.9,4.8,164.1,4281.2,2669.6,418.8
G/F,Dom,1146,67.7,26.4,3.4,68.4,1369.7,877.0,148.1
G/F,Int,102,65.7,41.2,5.2,109.1,3731.0,1520.9,244.8
