pos,origin,n,pct_priv,pct_R1R2,med_nral_pct,med_recruitK,med_stuaidK,med_sportRevK,med_sportExpK
L/DS,Dom,3336,67.8,29.4,3.5,70.0,1409.6,312.9,71.1
L/DS,Int,104,60.6,37.5,5.3,98.9,3614.4,542.9,88.6
MB,Dom,3019,62.6,34.9,3.6,78.8,2269.9,398.1,81.9
MB,Int,156,58.3,40.4,4.8,178.2,4843.2,581.0,119.0
OH,Dom,5150,67.0,30.9,3.6,71.5,1496.4,317.8,73.6
OH,Int,354,61.0,46.9,5.9,138.4,4574.2,634.7,120.4
OPP,Dom,1569,68.3,28.5,3.5,65.5,1226.4,272.0,68.4
OPP,Int,84,54.8,45.2,5.5,102.2,4758.2,697.6,107.5
S,Dom,2641,66.6,30.9,3.5,70.0,1369.7,305.0,72.0
S,Int,139,64.0,46.8,6.1,130.0,4228.1,617.6,119.3
