(1) Country-FE comparison
         spec           shock    beta     se      p stars     N
no country FE    any_conflict -0.0330 0.0136 0.0152    ** 19921
   country FE    any_conflict  0.1147 0.0820 0.1621       19921
no country FE    polstab_drop -0.0337 0.0150 0.0245    ** 19921
   country FE    polstab_drop  0.0272 0.0694 0.6957       19921
no country FE       gdp_shock -0.0021 0.0257 0.9355       19921
   country FE       gdp_shock  0.0028 0.0294 0.9227       19921
no country FE currency_crisis -0.0042 0.0240 0.8619       19921
   country FE currency_crisis  0.0015 0.0296 0.9591       19921

(2) Pre-trends event study

Armed conflict onset
 k      beta       se            p   N
-3 -0.531603 0.056482 4.875206e-21   4
-2 -0.194598 0.100163 5.203817e-02   5
-1  0.000000 0.000000          NaN  42
 0 -0.053733 0.057408 3.492777e-01 451
 1 -0.096148 0.066065 1.455679e-01 428
 2 -0.256364 0.037794 1.175584e-11 489

Political-stability drop onset
 k      beta       se            p   N
-3  0.073968 0.045942 1.073928e-01  60
-2 -0.088837 0.077091 2.491737e-01  55
-1  0.000000 0.000000          NaN 118
 0  0.138096 0.036258 1.397029e-04 376
 1  0.184092 0.026871 7.333077e-12 350
 2  0.152294 0.037122 4.085954e-05 391
