school_name,jersey_number,name,position,class_year,height,hometown,high_school_club,gender,country_code,geo_class,UNITID,INSTNM,STABBR,OBEREG,LOCALE,INSTSIZE,CONTROL,gdp_per_capita_ppp,unemployment,gdp_growth,price_level_ratio,econ_distance,econ_ratio
University of Michigan,0,Beau Barren,GK,Fr.,6' 0'',"Overland Park, Kan.",Blue Valley North,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,1,Isaiah Goldson,GK,Jr.,6' 0'',"Oakville, Ontario",Garth Webb Secondary School,Men,CAN,canada,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,58321.0611834624,5.279,2.32641594463436,0.879780876087693,14358.196356172397,0.802444372132691
University of Michigan,2,Patrick O'Toole,D/M,Jr.,5' 9'',"Montclair, N.J.",Montclair,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,3,Matthew Fisher,D,Jr.,5' 9'',"Rochester, Mich.",Blue Valley North,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,4,Nolan Miller,D,Sr.,6' 2'',"Troy, Mich.",Seaholm,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,5,Will Baker,D,Jr.,6' 4'',"Frisco, Texas",Memorial,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,6,Quin Rogers,M/F,Gr.,5' 10'',"San Jose, Calif.",Bellarmine College Prep,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,7,Shuma Sasaki,M,Gr.,5' 8'',"Kawasaki, Japan",Sumiyoshi,Men,JPN,international,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,44972.3438362201,2.614,1.39102754851621,0.72185132565121,27706.9137034147,0.6187782506129063
University of Michigan,8,Mitar Mitrovic,M,Gr.,6' 2'',"Belgrade, Serbia",Hinsdale South,Men,SRB,international,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,24651.9500494588,8.439,5.32139169050186,0.383463454699405,48027.307490176,0.33918824825659705
University of Michigan,9,Grayson Elmquist,F,Jr.,6' 1'',"Lake City, Mich.",Lake City,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,10,Duilio Herrera,M/F,Jr.,5' 10'',"Edinburg, Texas",Johny Economedes,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,11,Michael Ramirez,F,So.,6' 0'',"Chicago, Ill.",,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,12,Nicholas Cassiday,M/F,Sr.,5' 8'',"Grand Rapids, Mich.",Grand Rapids Christian,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,13,Joah Reyna,M,Fr.,5' 10'',"Austin, Texas",Laurel Springs,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,14,Rocky Perez,M,Sr.,5' 11'',"San Antonio, Texas",TTU K-12,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,15,Oliver Martin,F,Sr.,5' 10'',"Williston, Vt.",The Loomis Chaffee School,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
University of Michigan,16,Murphy Parker,M,Jr.,5' 10'',"London, England",Charterhouse,Men,GBR,international,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,53139.151252206,3.768,4.18537017111771,0.780443314302584,19540.106287428796,0.731146038788676
University of Michigan,17,Joao Paulo Ramos,M,Jr.,5' 9'',"Marietta, Ga.",George Walton,Men,USA,us,170976,University of Michigan-Ann Arbor,MI,3,12,5,1,72679.2575396348,3.65,1.92386172918107,1.0,0.0,1.0
