drop,beta,se,delta_from_full,N
UGA,-0.0,0.0,0.4072,462
CAN,-0.4483,0.0739,-0.0411,415
ITA,-0.4428,0.0695,-0.0356,460
SWE,-0.3756,0.0818,0.0316,429
JAM,-0.382,0.0863,0.0252,410
IRL,-0.4309,0.0753,-0.0238,456
AUS,-0.3891,0.0812,0.0181,433
EST,-0.3892,0.0786,0.018,453
GBR,-0.421,0.0845,-0.0138,425
LCA,-0.4197,0.0775,-0.0125,461
ESP,-0.3967,0.0809,0.0105,448
MEX,-0.4166,0.0776,-0.0094,460
ARG,-0.398,0.0793,0.0092,454
ROU,-0.4163,0.0776,-0.0092,462
NGA,-0.4157,0.0806,-0.0086,445
TGO,-0.3996,0.0786,0.0076,461
DEU,-0.4002,0.0795,0.007,456
NOR,-0.4008,0.0787,0.0063,461
ISR,-0.4025,0.0791,0.0047,448
KEN,-0.4034,0.0789,0.0038,459
CZE,-0.4043,0.079,0.0029,444
ZAF,-0.4099,0.0794,-0.0027,457
LVA,-0.4047,0.0788,0.0025,460
PER,-0.4054,0.0783,0.0017,463
BHS,-0.4056,0.0784,0.0015,460
MAR,-0.4058,0.0783,0.0013,463
BRB,-0.4063,0.0781,0.0009,458
FRA,-0.4063,0.0781,0.0009,458
PRT,-0.4063,0.0781,0.0009,458
TTO,-0.4064,0.078,0.0008,459
GRD,-0.408,0.0787,-0.0008,462
NLD,-0.4065,0.078,0.0006,460
CYP,-0.4067,0.0783,0.0005,463
BEL,-0.4067,0.0779,0.0005,461
ZWE,-0.4067,0.0779,0.0005,461
DNK,-0.4067,0.0779,0.0005,461
HUN,-0.4067,0.0779,0.0005,461
ISL,-0.4068,0.0783,0.0004,463
NZL,-0.4076,0.0787,-0.0004,455
JPN,-0.4069,0.0778,0.0003,463
CMR,-0.4069,0.0778,0.0003,463
HRV,-0.4069,0.0778,0.0003,463
UKR,-0.4069,0.0778,0.0003,463
IND,-0.407,0.0777,0.0001,464
TUR,-0.407,0.0777,0.0001,464
BRA,-0.407,0.0777,0.0001,464
SGP,-0.407,0.0777,0.0001,464
RUS,-0.407,0.0777,0.0001,464
TUN,-0.4072,0.0777,0.0,465
GRC,-0.4072,0.0777,0.0,465
NAM,-0.4072,0.0777,0.0,465
CUW,-0.4072,0.0777,0.0,465
VGB,-0.4072,0.0777,0.0,465
GUY,-0.4072,0.0777,0.0,465
TWN,-0.4072,0.0777,0.0,465
VCT,-0.4072,0.0777,0.0,465
POL,-0.4072,0.0777,0.0,465
CYM,-0.4072,0.0777,0.0,465
GHA,-0.4072,0.0777,0.0,465
SAU,-0.4072,0.0776,-0.0,463
