country_code,athletes,gdp_per_capita_ppp,gdp_ratio
GBR,203,52592.6822066393,0.7091908375534388
KEN,188,5691.82513474417,0.07675193705955072
CAN,156,57517.4431587432,0.7755992274250648
JAM,133,11398.8120394641,0.1537083243942491
AUS,95,60684.9596204883,0.8183118931081573
DEU,85,63039.3719696432,0.8500601819534169
ESP,72,47322.5937004504,0.6381258466674438
NGA,70,7843.83461990405,0.10577090595729623
FRA,64,54296.7230897731,0.7321691328300847
NZL,55,49508.2697230172,0.6675987950706901
ZAF,50,13695.3755694076,0.18467654554136728
BHS,38,35221.2696932313,0.4749444353360049
SWE,37,62662.7652797761,0.8449817945692997
ITA,37,52870.3261442897,0.7129347526462322
IRL,32,117862.128878959,1.5893226659762998
CZE,31,47558.4106763314,0.6413057422654144
NLD,28,70198.9297909022,0.9466038947806352
GHA,21,6808.53775165029,0.09181035056617667
NOR,19,90085.4382059786,1.2147653379161811
BRB,19,21318.6724772626,0.28747359053249966
TTO,18,31196.603554718,0.4206734563729869
ISR,17,47527.151024672,0.6408842186311025
MEX,15,21917.24858366,0.29554514483291633
GRC,14,36700.5134631055,0.4948914333609574
POL,14,43672.7668014946,0.5889094217430505
