country_code,year,sport,athletes,log_athletes,is_present,gdp_per_capita_ppp,gdp_growth,unemployment,political_stability,rule_of_law,control_corruption,gdp_shock,currency_crisis,unemployment_spike,any_econ_shock,disaster_events,disaster_deaths,disaster_affected,any_conflict,n_conflicts,pop_15_24_avg_2018_22,log_pop_15_24,log_gdp_pc,log_disaster_events,log_disaster_deaths,treated_sport,post_2020,did_term,treat_x_y2020,treat_x_y2021,treat_x_y2022,treat_x_y2023,imr
FIN,2019,track,6,1.9459101490553128,1,56922.4873163103,1.23812097519217,6.695,0.8353,2.0126,2.1139,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.94944574970846,0.0,0.0,0,0,0,0,0,0,0,0.2407739070600722
FIN,2019,soccer,14,2.70805020110221,1,56922.4873163103,1.23812097519217,6.695,0.8353,2.0126,2.1139,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.94944574970846,0.0,0.0,1,0,0,0,0,0,0,0.2351118064046124
FIN,2019,basketball,14,2.70805020110221,1,56922.4873163103,1.23812097519217,6.695,0.8353,2.0126,2.1139,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.94944574970846,0.0,0.0,0,0,0,0,0,0,0,0.34290009190676723
FIN,2019,tennis,3,1.3862943611198906,1,56922.4873163103,1.23812097519217,6.695,0.8353,2.0126,2.1139,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.94944574970846,0.0,0.0,0,0,0,0,0,0,0,0.3618891801656631
FIN,2019,golf,5,1.791759469228055,1,56922.4873163103,1.23812097519217,6.695,0.8353,2.0126,2.1139,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.94944574970846,0.0,0.0,0,0,0,0,0,0,0,0.6930253720730151
FIN,2019,swimming,7,2.079441541679836,1,56922.4873163103,1.23812097519217,6.695,0.8353,2.0126,2.1139,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.94944574970846,0.0,0.0,0,0,0,0,0,0,0,0.34673691080743985
FIN,2019,icehockey,14,2.70805020110221,1,56922.4873163103,1.23812097519217,6.695,0.8353,2.0126,2.1139,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.94944574970846,0.0,0.0,0,0,0,0,0,0,0,1.3041876891991435
FIN,2019,volleyball,1,0.6931471805599453,1,56922.4873163103,1.23812097519217,6.695,0.8353,2.0126,2.1139,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.94944574970846,0.0,0.0,1,0,0,0,0,0,0,0.6184612408244504
FIN,2020,track,3,1.3862943611198906,1,55424.8574989208,-2.63099855258851,7.759,0.9818,2.0186,2.1704,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.922783463419789,0.0,0.0,0,1,0,0,0,0,0,0.22869544657722768
FIN,2020,soccer,7,2.079441541679836,1,55424.8574989208,-2.63099855258851,7.759,0.9818,2.0186,2.1704,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.922783463419789,0.0,0.0,1,1,1,1,0,0,0,0.22322065324955032
FIN,2020,basketball,13,2.6390573296152584,1,55424.8574989208,-2.63099855258851,7.759,0.9818,2.0186,2.1704,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,611711.3758806713,13.324015842214298,10.922783463419789,0.0,0.0,0,1,0,0,0,0,0,0.3278121822289357
