iso_code,year,total_cases_per_million,total_deaths_per_million,stringency_index
ABW,2020,48500.82,436.02,45.66
ABW,2021,159241.88,1679.16,42.78
ABW,2022,405892.84,2597.6,26.79
ABW,2023,410271.62,2708.92,
AFG,2020,1277.71,53.18,41.95
AFG,2021,3891.24,181.18,29.24
AFG,2022,5109.12,193.33,11.42
AFG,2023,5677.22,196.48,
AGO,2020,481.24,11.22,58.97
AGO,2021,1996.41,49.0,58.86
AGO,2022,2948.5,54.13,37.66
AGO,2023,3000.64,54.36,
AIA,2020,844.95,0.0,
AIA,2021,115899.17,352.06,
AIA,2022,274890.88,844.95,
AIA,2023,274890.88,844.95,
ALB,2020,19585.41,401.04,55.81
ALB,2021,73284.73,1127.1,48.59
ALB,2022,117650.39,1271.74,21.52
ALB,2023,118331.52,1274.57,
AND,2020,97915.26,1041.12,38.64
AND,2021,272572.2,1743.56,49.39
AND,2022,598153.56,1981.89,12.84
AND,2023,602280.44,1994.43,
ARE,2020,19614.37,63.95,50.97
ARE,2021,73181.39,210.5,51.08
ARE,2022,102181.24,229.25,31.2
ARE,2023,104180.94,229.35,
ARG,2020,35894.81,1046.23,71.37
ARG,2021,122443.8,2594.92,66.84
ARG,2022,217828.58,2865.67,19.03
ARG,2023,221216.05,2873.33,
ARM,2020,54786.68,960.82,
ARM,2021,119574.8,2757.14,
ARM,2022,154668.89,3022.68,
ARM,2023,156697.1,3045.94,
ASM,2020,0.0,0.0,
ASM,2021,227.44,0.0,
ASM,2022,170908.72,702.99,
ASM,2023,172831.6,702.99,
ATG,2020,1669.34,53.85,
ATG,2021,45546.09,1270.85,
ATG,2022,98071.1,1572.41,
ATG,2023,98071.1,1572.41,
AUS,2020,1079.96,35.11,56.47
AUS,2021,13992.11,90.72,61.46
AUS,2022,408154.12,679.97,24.25
AUS,2023,447369.97,929.12,
AUT,2020,38030.25,777.63,47.59
AUT,2021,138128.22,1829.85,61.62
AUT,2022,626425.4,2379.68,38.75
AUT,2023,670974.6,2485.91,
AZE,2020,20568.98,234.67,66.2
AZE,2021,59650.38,804.64,65.46
AZE,2022,80220.34,971.9,49.02
AZE,2023,81032.45,1005.6,
BDI,2020,60.73,0.15,11.97
BDI,2021,2026.78,1.05,16.09
BDI,2022,3907.41,1.13,19.63
BDI,2023,4088.33,1.13,
BEL,2020,54867.74,1664.17,52.1
BEL,2021,175927.06,2421.62,50.11
BEL,2022,401953.88,2855.22,15.46
BEL,2023,416493.97,2949.63,
BEN,2020,232.93,3.2,38.26
BEN,2021,1812.2,11.7,40.47
BEN,2022,2033.87,11.85,18.2
BEN,2023,2037.57,11.85,
BES,2020,6351.64,104.7,
BES,2021,113038.32,767.78,
BES,2022,408878.34,1361.07,
BES,2023,416067.56,1430.86,
BFA,2020,281.84,3.46,31.7
BFA,2021,757.03,14.08,19.65
BFA,2022,977.65,17.55,10.45
BFA,2023,982.23,17.77,
BGD,2020,3005.86,43.99,66.74
BGD,2021,9347.07,165.66,64.03
BGD,2022,12026.01,173.8,19.83
BGD,2023,12080.72,174.02,
BGR,2020,28917.08,1043.53,41.54
BGR,2021,107514.91,4472.4,48.4
BGR,2022,187612.47,5572.34,19.01
BGR,2023,193906.34,5659.36,
BHR,2020,59680.76,228.89,55.8
BHR,2021,182279.4,909.06,44.1
BHR,2022,454276.25,1001.66,14.04
BHR,2023,454276.25,1001.66,
BHS,2020,19590.28,425.11,65.34
BHS,2021,59439.96,1793.51,62.12
BHS,2022,94306.54,2095.37,30.1
BHS,2023,95956.67,2128.07,
BIH,2020,34114.4,1224.1,47.34
BIH,2021,89776.44,4144.71,38.79
BIH,2022,125112.13,5061.77,30.42
BIH,2023,125907.2,5111.08,
BLM,2020,17263.43,0.0,
BLM,2021,157654.36,365.36,
BLM,2022,493423.47,456.7,
BLM,2023,503014.25,456.7,
BLR,2020,20158.85,150.0,25.19
BLR,2021,75502.32,597.83,34.25
BLR,2022,108362.68,775.95,10.9
BLR,2023,108362.68,775.95,
BLZ,2020,26046.52,566.12,58.66
BLZ,2021,78221.48,1469.93,62.26
BLZ,2022,173002.0,1708.29,23.75
BLZ,2023,177242.94,1708.29,
BMU,2020,8661.15,138.95,46.01
BMU,2021,93620.7,1636.51,49.39
BMU,2022,286497.25,2346.69,23.29
BMU,2023,291175.2,2547.4,
BOL,2020,12717.4,752.08,67.94
BOL,2021,47631.0,1617.1,33.68
BOL,2022,94951.25,1844.8,25.93
BOL,2023,100362.71,1853.5,
BRA,2020,35417.66,905.76,58.14
BRA,2021,105706.41,2940.43,59.72
BRA,2022,171770.02,3293.97,28.37
BRA,2023,178367.94,3338.54,
BRB,2020,1229.08,24.79,45.78
BRB,2021,97862.74,920.93,64.19
BRB,2022,373737.28,2011.87,34.07
BRB,2023,381809.56,2100.42,
BRN,2020,333.79,6.59,38.74
BRN,2021,33921.57,133.96,52.79
BRN,2022,589877.75,325.01,27.38
BRN,2023,726383.1,375.52,
BTN,2020,764.48,0.0,64.63
BTN,2021,3406.24,3.84,58.24
BTN,2022,80073.51,26.89,29.85
BTN,2023,80286.07,26.89,
BWA,2020,5692.87,15.98,51.41
BWA,2021,87086.53,999.63,50.62
BWA,2022,134444.72,1141.85,7.91
BWA,2023,135422.62,1147.59,
CAF,2020,1140.44,12.36,40.0
CAF,2021,2406.42,19.81,16.27
CAF,2022,3012.92,22.16,15.83
CAF,2023,3028.62,22.16,
CAN,2020,13890.35,379.53,56.41
CAN,2021,50532.18,768.93,69.41
CAN,2022,115307.56,1247.28,25.71
CAN,2023,122979.94,1402.35,
CHE,2020,49512.07,816.86,42.75
CHE,2021,142584.66,1345.29,51.88
CHE,2022,497610.94,1576.97,14.89
CHE,2023,505783.66,1611.66,
CHL,2020,30603.64,838.95,65.89
CHL,2021,92012.59,1995.24,64.63
CHL,2022,256029.81,3222.62,24.33
CHL,2023,272744.25,3297.8,
CHN,2020,67.59,3.35,69.03
CHN,2021,91.82,4.0,74.12
CHN,2022,43815.99,27.36,77.56
CHN,2023,69691.38,85.53,
CIV,2020,726.47,4.41,39.3
CIV,2021,2100.58,23.26,19.7
CIV,2022,2893.01,27.31,16.02
CIV,2023,2907.85,27.47,
CMR,2020,950.94,16.21,42.53
CMR,2021,3932.87,66.99,31.26
CMR,2022,4487.17,71.11,21.27
CMR,2023,4528.57,71.44,
COD,2020,164.43,5.65,44.88
COD,2021,732.87,11.77,37.13
COD,2022,928.44,14.28,30.75
COD,2023,970.13,14.34,
COG,2020,1058.64,16.57,52.59
COG,2021,3328.69,60.81,45.12
COG,2022,4152.87,63.96,33.43
COG,2023,4177.72,64.46,
COK,2020,0.0,0.0,
COK,2021,0.0,0.0,
COK,2022,449243.9,67.81,
COK,2023,488438.3,135.62,
COL,2020,30436.21,805.79,63.89
COL,2021,98926.51,2506.59,61.01
COL,2022,122508.52,2746.07,27.76
COL,2023,123043.04,2758.65,
COM,2020,792.38,8.39,
COM,2021,6716.68,183.41,
COM,2022,10767.31,191.8,
COM,2023,10919.55,191.8,
CPV,2020,22506.98,215.49,58.92
CPV,2021,75061.09,677.25,59.33
CPV,2022,121577.68,792.69,26.83
CPV,2023,124048.1,802.31,
CRI,2020,32284.45,413.83,55.0
CRI,2021,112071.89,1446.15,56.33
CRI,2022,228599.12,1785.21,19.17
CRI,2023,242150.52,1843.06,
CUB,2020,998.03,12.75,61.28
CUB,2021,87217.23,752.27,68.04
CUB,2022,100528.48,771.26,15.36
CUB,2023,100688.25,771.26,
CUW,2020,21855.83,64.74,
CUW,2021,98726.2,1003.5,
CUW,2022,246596.98,1613.16,
CUW,2023,247546.55,1645.53,
CYM,2020,4440.78,27.93,
CYM,2021,117108.19,153.61,
CYM,2022,439497.84,516.7,
CYM,2023,439497.84,516.7,
CYP,2020,14565.38,85.63,53.76
CYP,2021,112551.23,478.45,59.17
CYP,2022,472074.75,942.63,22.92
CYP,2023,507076.12,1047.04,
CZE,2020,63248.23,1065.0,45.27
CZE,2021,232961.75,3371.8,55.17
CZE,2022,428879.72,3944.36,18.5
CZE,2023,444722.84,4061.94,
DEU,2020,19743.76,559.06,52.39
DEU,2021,83414.88,1399.66,61.24
DEU,2022,442901.72,1971.05,19.05
DEU,2023,457123.1,2080.95,
DJI,2020,5105.09,53.64,46.74
DJI,2021,11932.11,166.21,42.18
DJI,2022,13798.26,166.21,31.1
DJI,2023,13798.26,166.21,
DMA,2020,1436.05,0.0,37.46
DMA,2021,98115.18,673.15,44.17
DMA,2022,235751.69,1106.96,38.31
DMA,2023,240044.88,1106.96,
DNK,2020,25608.95,196.34,46.88
DNK,2021,118172.97,541.6,46.21
DNK,2022,572913.7,1306.48,13.33
DNK,2023,581467.94,1608.19,
DOM,2020,14775.52,214.06,63.94
DOM,2021,36853.07,377.27,60.45
DOM,2022,58641.49,390.36,11.38
DOM,2023,58865.52,390.36,
DZA,2020,2151.77,59.85,60.89
DZA,2021,4757.88,136.97,59.29
DZA,2022,5963.27,151.31,25.55
DZA,2023,5981.21,151.31,
ECU,2020,11741.2,784.9,59.54
ECU,2021,30373.15,1887.75,59.49
ECU,2022,58374.6,2016.06,24.81
ECU,2023,59941.93,2021.11,
