iso_code,country_name,year,political_stability,govt_effectiveness,rule_of_law,control_corruption
ABW,Aruba,2015,1.2102,0.8476,1.2271,1.2483
ABW,Aruba,2016,1.2608,0.8529,1.2266,1.2327
ABW,Aruba,2017,1.3138,0.876,1.2958,1.2396
ABW,Aruba,2018,1.3375,1.0134,1.2597,1.2074
ABW,Aruba,2019,1.3358,0.9877,1.2283,1.1744
ABW,Aruba,2020,1.3716,1.075,1.2706,1.1988
ABW,Aruba,2021,1.4317,1.0839,1.2467,0.8009
ABW,Aruba,2022,1.4831,1.1052,1.278,0.7565
ABW,Aruba,2023,1.4325,0.7954,1.2702,0.7091
AFG,Afghanistan,2015,-2.5626,-1.3974,-1.5162,-1.3547
AFG,Afghanistan,2016,-2.6622,-1.2915,-1.5225,-1.5402
AFG,Afghanistan,2017,-2.795,-1.3866,-1.5812,-1.5301
AFG,Afghanistan,2018,-2.7534,-1.5018,-1.6891,-1.5029
AFG,Afghanistan,2019,-2.6525,-1.5191,-1.7421,-1.4193
AFG,Afghanistan,2020,-2.7027,-1.6115,-1.8314,-1.4934
AFG,Afghanistan,2021,-2.5187,-1.6706,-1.8772,-1.1523
AFG,Afghanistan,2022,-2.545,-1.88,-1.6598,-1.1837
AFG,Afghanistan,2023,-2.4841,-1.987,-1.6496,-1.1549
AGO,Angola,2015,-0.5054,-0.9291,-1.0307,-1.4277
AGO,Angola,2016,-0.3216,-0.9715,-1.004,-1.484
AGO,Angola,2017,-0.3879,-0.952,-1.04,-1.4452
AGO,Angola,2018,-0.3472,-1.0053,-1.0011,-1.1995
AGO,Angola,2019,-0.3684,-1.1285,-1.0235,-1.0546
AGO,Angola,2020,-0.5999,-1.2575,-0.9511,-0.9351
AGO,Angola,2021,-0.7105,-1.1264,-0.9838,-0.6495
AGO,Angola,2022,-0.6301,-1.026,-1.022,-0.6124
AGO,Angola,2023,-0.3415,-1.0089,-1.0991,-0.6099
ALB,Albania,2015,0.3416,0.0276,-0.3197,-0.5451
ALB,Albania,2016,0.3374,0.0291,-0.3226,-0.4724
ALB,Albania,2017,0.3738,0.0986,-0.4142,-0.4814
ALB,Albania,2018,0.3668,0.0805,-0.4148,-0.546
ALB,Albania,2019,0.1101,-0.0623,-0.4263,-0.5643
ALB,Albania,2020,0.0886,-0.1551,-0.378,-0.5735
ALB,Albania,2021,0.1964,-0.036,-0.2807,-0.5772
ALB,Albania,2022,0.1063,0.0645,-0.1656,-0.4082
ALB,Albania,2023,0.1833,0.2509,-0.1641,-0.3322
AND,Andorra,2015,1.366,1.7407,1.5132,1.1517
AND,Andorra,2016,1.3828,1.8054,1.5129,1.1594
AND,Andorra,2017,1.3929,1.8769,1.5356,1.1718
AND,Andorra,2018,1.3912,1.8792,1.5365,1.1789
AND,Andorra,2019,1.5774,1.8519,1.5102,1.1762
AND,Andorra,2020,1.5887,1.7492,1.6152,1.2655
AND,Andorra,2021,1.5813,1.7489,1.6421,1.2797
AND,Andorra,2022,1.586,1.4953,1.4855,1.2703
AND,Andorra,2023,1.5835,1.4754,1.4769,1.2514
ARE,United Arab Emirates,2015,0.748,1.5005,0.6142,1.0346
ARE,United Arab Emirates,2016,0.5496,1.4102,0.819,1.1317
ARE,United Arab Emirates,2017,0.6019,1.4089,0.7683,1.0958
ARE,United Arab Emirates,2018,0.6893,1.4263,0.7742,1.1171
ARE,United Arab Emirates,2019,0.6675,1.3803,0.8083,1.0724
ARE,United Arab Emirates,2020,0.5926,1.2853,0.8751,1.0836
ARE,United Arab Emirates,2021,0.5976,1.3637,0.799,1.1504
ARE,United Arab Emirates,2022,0.7442,1.2991,0.8361,1.1556
ARE,United Arab Emirates,2023,0.6775,1.6043,0.8819,1.0737
ARG,Argentina,2015,0.0088,-0.0495,-0.7486,-0.5813
ARG,Argentina,2016,0.1977,0.2188,-0.3202,-0.2992
ARG,Argentina,2017,0.1625,0.1351,-0.2373,-0.309
ARG,Argentina,2018,0.0069,0.0281,-0.2193,-0.0993
ARG,Argentina,2019,-0.0978,-0.1208,-0.4274,-0.1071
ARG,Argentina,2020,-0.072,-0.2543,-0.4863,-0.1636
ARG,Argentina,2021,0.0005,-0.3906,-0.4779,-0.4226
ARG,Argentina,2022,-0.0986,-0.2835,-0.4824,-0.4472
ARG,Argentina,2023,-0.1275,-0.3775,-0.4108,-0.3609
ARM,Armenia,2015,-0.2568,-0.3318,-0.4626,-0.6097
ARM,Armenia,2016,-0.668,-0.3126,-0.1609,-0.6598
ARM,Armenia,2017,-0.6262,-0.2516,-0.2094,-0.637
