school_name,wiki_match,match_type,match_score,base_url,roster_url,probe_status,hometown_count,real_hometowns
Abilene Christian,Abilene Christian,exact,100,https://acusports.com/,https://acusports.com/sports/track-and-field/roster,OK_static,263,193
Air Force,Air Force,exact,100,https://goairforcefalcons.com/,https://goairforcefalcons.com/sports/track-and-field/roster,OK_static,409,349
Akron,Akron,exact,100,https://gozips.com/,https://gozips.com/sports/track-and-field/roster,OK_static,332,240
Alabama,Alabama,exact,100,http://rolltide.com/,http://rolltide.com/sports/xctrack/roster,OK_rediscovered,0,198
Alabama A&M,Alabama A&M,exact,100,https://aamusports.com/,https://aamusports.com/sports/mens-track-and-field/roster,OK_static,362,189
Alabama State,Alabama State,exact,100,https://bamastatesports.com/,https://bamastatesports.com/sports/mens-track-and-field/roster,OK_static,125,38
Alcorn State,Alcorn State,exact,100,https://alcornsports.com/,https://alcornsports.com/sports/mens-track-and-field/roster,OK_static,129,72
American,American,exact,100,https://aueagles.com/,https://aueagles.com/sports/track-and-field/roster,OK_static,333,136
App State,Appalachian State,alias,100,https://appstatesports.com/,https://appstatesports.com/sports/mens-track-and-field/roster,OK_static,283,74
Arizona,Arizona,exact,100,https://arizonawildcats.com/,https://arizonawildcats.com/sports/track-and-field/roster,OK_static,497,265
Arizona State,Arizona State,exact,100,https://sundevils.com/,https://thesundevils.com/sports/track-and-field/roster,OK_rediscovered,0,72
Arkansas,Arkansas,exact,100,https://arkansasrazorbacks.com/,https://arkansasrazorbacks.com/sport/m-track/roster/,OK_rediscovered,0,43
Arkansas State,Arkansas State,exact,100,https://astateredwolves.com/,https://astateredwolves.com/sports/track-and-field/roster,OK_static,589,325
Arkansas-Pine Bluff,Arkansas–Pine Bluff,exact,100,https://uapblionsroar.com/,https://uapblionsroar.com/sports/mens-track-and-field/roster,OK_static,150,74
Army West Point,Army / Army West Point [ N 21 ],alias,100,https://goarmywestpoint.com/,https://goarmywestpoint.com/sports/mens-track-and-field/roster,OK_static,365,229
Auburn,Auburn,exact,100,https://auburntigers.com/,https://auburntigers.com/sports/cross-country/roster,js_only,0,0
Austin Peay,Austin Peay,exact,100,https://letsgopeay.com/,https://letsgopeay.com/sports/track-and-field/roster,OK_static,213,119
BYU,BYU,exact,100,https://byucougars.com,https://byucougars.com/sports/mens-track-and-field/roster,OK_static,53,47
Ball State,Ball State,exact,100,https://ballstatesports.com/,https://ballstatesports.com/sports/womens-track-and-field/roster,OK_rediscovered,0,96
Baylor,Baylor,exact,100,https://baylorbears.com/,https://baylorbears.com/sports/track-and-field/roster,OK_static,329,219
Bellarmine,Bellarmine,exact,100,https://athletics.bellarmine.edu/,https://athletics.bellarmine.edu/sports/mens-track-and-field/roster,OK_static,283,182
Belmont,Belmont,exact,100,https://belmontbruins.com/,https://belmontbruins.com/sports/mens-track-and-field/roster,OK_static,234,131
Bethune-Cookman,Bethune–Cookman,exact,100,https://bcuathletics.com,https://bcuathletics.com/sports/track-and-field/roster,OK_static,434,178
Binghamton,Binghamton,exact,100,https://bubearcats.com/,https://bubearcats.com/sports/mens-track-and-field/roster,js_table_stub,304,6
Boise State,Boise State,exact,100,https://broncosports.com/,https://broncosports.com/sports/track-and-field/roster,OK_static,324,258
Boston College,Boston University,exact,100,https://goterriers.com/,https://goterriers.com/sports/mens-track-and-field/roster,OK_static,170,121
Boston University,Boston University,exact,100,https://goterriers.com/,https://goterriers.com/sports/mens-track-and-field/roster,OK_static,170,121
Bowling Green,Bowling Green,exact,100,https://bgsufalcons.com/,https://bgsufalcons.com/sports/mens-cross-country/roster,OK_static,49,52
Bradley,Bradley,exact,100,https://bradleybraves.com/,https://bradleybraves.com/sports/track-and-field/roster,js_table_stub,132,21
Brown,Brown,exact,100,https://brownbears.com/,https://brownbears.com/sports/mens-track-and-field/roster,OK_static,215,145
