school_name,gender,platform,base_url,status,division,source_id,softball_roster,field_hockey_roster,beach_volleyball_roster,football_roster,baseball_roster,cross_country_roster,soccer_roster,volleyball_roster,water_polo_roster,basketball_roster,bowling_roster,fencing_roster,gymnastics_roster,ice_hockey_roster,swimming_diving_roster,track_field_roster,wrestling_roster,golf_roster,lacrosse_roster,rowing_roster,tennis_roster
Abilene Christian University,Men,Sidearm Sports,http://www.acusports.com/,OK,I-FCS,1,,,,https://acusports.com/sports/football/roster,https://acusports.com/sports/baseball/roster,https://acusports.com/sports/cross-country/roster,,,,https://acusports.com/sports/mens-basketball/roster,,,,,,https://acusports.com/sports/track-and-field/roster,,https://acusports.com/sports/mens-golf/roster,,,https://acusports.com/sports/mens-tennis/roster
Abilene Christian University,Women,Sidearm Sports,http://www.acusports.com/,OK,I-FCS,1,https://acusports.com/sports/softball/roster,,,,,https://acusports.com/sports/cross-country/roster,https://acusports.com/sports/womens-soccer/roster,https://acusports.com/sports/womens-volleyball/roster,,https://acusports.com/sports/womens-basketball/roster,,,,,,https://acusports.com/sports/track-and-field/roster,,https://acusports.com/sports/womens-golf/roster,,,https://acusports.com/sports/womens-tennis/roster
Adams State University,Men,Sidearm Sports,http://www.asugrizzlies.com/,OK,II,2,,,,https://asugrizzlies.com/sports/football/roster,https://asugrizzlies.com/sports/baseball/roster,https://asugrizzlies.com/sports/cross-country/roster,https://asugrizzlies.com/sports/mens-soccer/roster,,,https://asugrizzlies.com/sports/mens-basketball/roster,,,,,https://asugrizzlies.com/sports/swimming/roster,https://asugrizzlies.com/sports/track-field/roster,https://asugrizzlies.com/sports/wrestling/roster,,https://asugrizzlies.com/sports/mens-lacrosse/roster,,
Adams State University,Women,Sidearm Sports,http://www.asugrizzlies.com/,OK,II,2,https://asugrizzlies.com/sports/softball/roster,,,,,https://asugrizzlies.com/sports/cross-country/roster,https://asugrizzlies.com/sports/womens-soccer/roster,https://asugrizzlies.com/sports/womens-volleyball/roster,,https://asugrizzlies.com/sports/womens-basketball/roster,,,,,https://asugrizzlies.com/sports/swimming/roster,https://asugrizzlies.com/sports/track-field/roster,https://asugrizzlies.com/sports/womens-wrestling/roster,https://asugrizzlies.com/sports/womens-golf/roster,,,
Adelphi University,Men,Sidearm Sports,http://www.aupanthers.com/,OK,II,3,,,,,https://aupanthers.com/sports/baseball/roster,https://aupanthers.com/sports/cross-country/roster,https://aupanthers.com/sports/mens-soccer/roster,,,https://aupanthers.com/sports/mens-basketball/roster,,,,,https://aupanthers.com/sports/swimming-and-diving/roster,https://aupanthers.com/sports/track-and-field/roster,,https://aupanthers.com/sports/mens-golf/roster,https://aupanthers.com/sports/mens-lacrosse/roster,,https://aupanthers.com/sports/mens-tennis/roster
Adelphi University,Women,Sidearm Sports,http://www.aupanthers.com/,OK,II,3,https://aupanthers.com/sports/softball/roster,https://aupanthers.com/sports/field-hockey/roster,,,,https://aupanthers.com/sports/cross-country/roster,https://aupanthers.com/sports/womens-soccer/roster,https://aupanthers.com/sports/womens-volleyball/roster,,https://aupanthers.com/sports/womens-basketball/roster,https://aupanthers.com/sports/womens-bowling/roster,,,,https://aupanthers.com/sports/swimming-and-diving/roster,https://aupanthers.com/sports/track-and-field/roster,,https://aupanthers.com/sports/womens-golf/roster,https://aupanthers.com/sports/womens-lacrosse/roster,,https://aupanthers.com/sports/womens-tennis/roster
Adrian College,Men,Sidearm Sports,http://www.adrianbulldogs.com/,OK,III,4,,,,https://adrianbulldogs.com/sports/football/roster,https://adrianbulldogs.com/sports/baseball/roster,https://adrianbulldogs.com/sports/cross-country/roster,https://adrianbulldogs.com/sports/mens-soccer/roster,https://adrianbulldogs.com/sports/mens-volleyball/roster,,https://adrianbulldogs.com/sports/mens-basketball/roster,https://adrianbulldogs.com/sports/mens-bowling/roster,,,https://adrianbulldogs.com/sports/mens-ice-hockey/roster,,https://adrianbulldogs.com/sports/track-and-field/roster,https://adrianbulldogs.com/sports/wrestling/roster,https://adrianbulldogs.com/sports/mens-golf/roster,https://adrianbulldogs.com/sports/mens-lacrosse/roster,https://adrianbulldogs.com/sports/mens-rowing/roster,https://adrianbulldogs.com/sports/mens-tennis/roster
Adrian College,Women,Sidearm Sports,http://www.adrianbulldogs.com/,OK,III,4,https://adrianbulldogs.com/sports/softball/roster,,,,,https://adrianbulldogs.com/sports/cross-country/roster,https://adrianbulldogs.com/sports/womens-soccer/roster,https://adrianbulldogs.com/sports/womens-volleyball/roster,,https://adrianbulldogs.com/sports/womens-basketball/roster,https://adrianbulldogs.com/sports/womens-bowling/roster,,,https://adrianbulldogs.com/sports/womens-ice-hockey/roster,,https://adrianbulldogs.com/sports/track-and-field/roster,https://adrianbulldogs.com/sports/womens-wrestling/roster,https://adrianbulldogs.com/sports/womens-golf/roster,https://adrianbulldogs.com/sports/womens-lacrosse/roster,https://adrianbulldogs.com/sports/womens-rowing/roster,https://adrianbulldogs.com/sports/womens-tennis/roster
Agnes Scott College,Men,Sidearm Sports,http://www.ascscotties.com/,OK,III,5,,,,,,,,,,,,,,,,https://ascscotties.com/sports/track-and-field/roster,,,,,
Agnes Scott College,Women,Sidearm Sports,http://www.ascscotties.com/,OK,III,5,https://ascscotties.com/sports/softball/roster,,,,,https://ascscotties.com/sports/womens-cross-country/roster,https://ascscotties.com/sports/womens-soccer/roster,https://ascscotties.com/sports/womens-volleyball/roster,,https://ascscotties.com/sports/womens-basketball/roster,,,,,,https://ascscotties.com/sports/track-and-field/roster,,,,,https://ascscotties.com/sports/womens-tennis/roster
