school_norm,name_norm,profile_url,country_code,year
akron,titus kirui,https://www.tfrrs.org/athletes/8593482/Akron/Titus_Kirui.html,KEN,2023
akron,andrew styles,https://www.tfrrs.org/athletes/8684233/Akron/Andrew_Styles.html,BHS,2023
akron,vanessa horn,https://www.tfrrs.org/athletes/8368130/Akron/Vanessa_Horn.html,DEU,2022
akron,adaeze nwokike,https://www.tfrrs.org/athletes/8005925/Akron/Adaeze_Nwokike.html,NGA,2021
alabama,kai crawford,https://www.tfrrs.org/athletes/8367019/Alabama/Kai_Crawford.html,GBR,2022
alabama,oussama el bouchayby,https://www.tfrrs.org/athletes/8691777/Alabama/Oussama_El_Bouchayby.html,MAR,2023
alabama,dennis kipruto,https://www.tfrrs.org/athletes/8717163/Alabama/Dennis_Kipruto.html,KEN,2023
alabama,samuel ogazi,https://www.tfrrs.org/athletes/8691776/Alabama/Samuel_Ogazi.html,NGA,2023
alabama,tarsis orogot,https://www.tfrrs.org/athletes/8016458/Alabama/Tarsis_Orogot.html,UGA,2021
alabama,mariia horielova,https://www.tfrrs.org/athletes/8711955/Alabama/Mariia_Horielova.html,UKR,2023
alabama,doris lemngole,https://www.tfrrs.org/athletes/8614328/Alabama/Doris_Lemngole.html,KEN,2023
alabama,brenda tuwei,https://www.tfrrs.org/athletes/8711956/Alabama/Brenda_Tuwei.html,KEN,2023
american,mathias deldicque,https://www.tfrrs.org/athletes/8585395/American/Mathias_Deldicque.html,ESP,2023
arkansas state,menachem chen,https://www.tfrrs.org/athletes/8666906/Arkansas_State/Menachem_Chen.html,ISR,2023
arkansas state,colby eddowes,https://www.tfrrs.org/athletes/8335072/Arkansas_State/Colby_Eddowes.html,AUS,2022
arkansas state,liya guy,https://www.tfrrs.org/athletes/8666941/Arkansas_State/Liya_Guy.html,ISR,2023
arkansas pine bluff,genesis joseph,https://www.tfrrs.org/athletes/7890596/Arkansas_Pine_Bluff/Genesis_Joseph.html,TTO,2023
arkansas pine bluff,ross walrond,https://www.tfrrs.org/athletes/8350823/Arkansas_Pine_Bluff/Ross_Walrond.html,BRB,2023
austin peay,myra eriksson,https://www.tfrrs.org/athletes/8323588/Austin_Peay/Myra_Eriksson.html,SWE,2022
baylor,ricquan graham,https://www.tfrrs.org/athletes/8318375/Baylor/Ricquan_Graham.html,JAM,2022
baylor,demario prince,https://www.tfrrs.org/athletes/8611983/Baylor/Demario_Prince.html,JAM,2023
baylor,aren spencer,https://www.tfrrs.org/athletes/8318376/Baylor/Aren_Spencer.html,BRB,2022
baylor,ruth kimeli,https://www.tfrrs.org/athletes/8818269/Baylor/Ruth_Kimeli.html,KEN,2023
baylor,calisha taylor,https://www.tfrrs.org/athletes/8011932/Baylor/Calisha_Taylor.html,JAM,2023
belmont,reuben macdonald,https://www.tfrrs.org/athletes/8587329/Belmont/Reuben_MacDonald.html,GBR,2023
boise state,josh dickinson,https://www.tfrrs.org/athletes/8611891/Boise_State/Josh_Dickinson.html,GBR,2023
boise state,christian graham,https://www.tfrrs.org/athletes/8611892/Boise_State/Christian_Graham.html,GBR,2023
boise state,brian kiprotich,https://www.tfrrs.org/athletes/8731311/Boise_State/Brian_Kiprotich.html,KEN,2023
boise state,alex thompson,https://www.tfrrs.org/athletes/8265355/Boise_State/Alex_Thompson.html,GBR,2022
boise state,hanna ackermann,https://www.tfrrs.org/athletes/8611935/Boise_State/Hanna_Ackermann.html,DEU,2023
boise state,bianca boehnke,https://www.tfrrs.org/athletes/8611936/Boise_State/Bianca_Boehnke.html,DEU,2023
boise state,amit koma,https://www.tfrrs.org/athletes/8611938/Boise_State/Amit_Koma.html,ISR,2023
