country_name,iso3,year,any_conflict,n_conflicts,max_intensity_level,max_intensity_label,conflict_types,any_onset,incompatibilities,conflict_ids
Afghanistan,AFG,1978,1,1,2,war,intrastate,1,government,333
Afghanistan,AFG,1979,1,2,2,war,interstate; intrastate,1,government,333; 431
Afghanistan,AFG,1980,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1981,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1982,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1983,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1984,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1985,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1986,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1987,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1988,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1989,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,1990,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1991,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1992,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1993,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1994,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1995,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1996,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1997,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1998,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,1999,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,2000,1,1,2,war,intrastate,0,government,333
Afghanistan,AFG,2001,1,2,2,war,internationalized intrastate; interstate,1,government,13692; 333
Afghanistan,AFG,2002,1,1,1,minor,intrastate,0,government,333
Afghanistan,AFG,2003,1,1,1,minor,internationalized intrastate,0,government,333
Afghanistan,AFG,2004,1,1,1,minor,internationalized intrastate,0,government,333
Afghanistan,AFG,2005,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2006,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2007,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2008,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2009,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2010,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2011,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2012,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2013,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2014,1,1,2,war,internationalized intrastate,0,government,333
Afghanistan,AFG,2015,1,2,2,war,internationalized intrastate,1,government; territory,13637; 333
Afghanistan,AFG,2016,1,2,2,war,internationalized intrastate,0,government; territory,13637; 333
Afghanistan,AFG,2017,1,2,2,war,internationalized intrastate,0,government; territory,13637; 333
Afghanistan,AFG,2018,1,2,2,war,internationalized intrastate,0,government; territory,13637; 333
Afghanistan,AFG,2019,1,2,2,war,internationalized intrastate,0,government; territory,13637; 333
Afghanistan,AFG,2020,1,2,2,war,internationalized intrastate,0,government; territory,13637; 333
Afghanistan,AFG,2021,1,2,2,war,internationalized intrastate,0,government; territory,13637; 333
Afghanistan,AFG,2022,1,2,1,minor,intrastate,0,government; territory,13637; 333
Afghanistan,AFG,2023,1,2,1,minor,intrastate,0,government; territory,13637; 333
Angola,AGO,1961,1,1,2,war,extrasystemic,1,territory,263
Angola,AGO,1962,1,1,2,war,extrasystemic,0,territory,263
Angola,AGO,1963,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1964,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1965,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1966,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1967,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1968,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1969,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1970,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1971,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1972,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1973,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1974,1,1,1,minor,extrasystemic,0,territory,263
Angola,AGO,1975,1,1,2,war,internationalized intrastate,1,government,327
Angola,AGO,1976,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1977,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1978,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1979,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1980,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1981,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1982,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1983,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1984,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1985,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1986,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1987,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1988,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1989,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,1990,1,1,2,war,intrastate,0,government,327
Angola,AGO,1991,1,2,1,minor,intrastate,1,government; territory,327; 387
Angola,AGO,1992,1,2,2,war,intrastate,0,government; territory,327; 387
Angola,AGO,1993,1,1,2,war,intrastate,0,government,327
Angola,AGO,1994,1,2,2,war,intrastate,1,government; territory,327; 387
Angola,AGO,1995,1,2,1,minor,intrastate,0,government; territory,327; 387
Angola,AGO,1996,1,1,1,minor,intrastate,0,territory,387
Angola,AGO,1997,1,1,1,minor,intrastate,0,territory,387
Angola,AGO,1998,1,2,2,war,intrastate,1,government; territory,327; 387
Angola,AGO,1999,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,2000,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,2001,1,1,2,war,internationalized intrastate,0,government,327
Angola,AGO,2002,1,2,1,minor,internationalized intrastate; intrastate,1,government; territory,327; 387
Angola,AGO,2003,1,1,1,minor,intrastate,0,territory,387
Angola,AGO,2004,1,1,1,minor,intrastate,0,territory,387
Angola,AGO,2007,1,1,1,minor,intrastate,1,territory,387
Angola,AGO,2009,1,1,1,minor,intrastate,1,territory,387
Angola,AGO,2016,1,1,1,minor,intrastate,1,territory,387
Angola,AGO,2017,1,1,1,minor,intrastate,0,territory,387
Angola,AGO,2019,1,1,1,minor,intrastate,1,territory,387
Angola,AGO,2020,1,1,1,minor,intrastate,0,territory,387
Angola,AGO,2022,1,1,1,minor,intrastate,1,territory,387
Albania,ALB,1946,1,1,1,minor,interstate,1,territory,215
Argentina,ARG,1955,1,1,1,minor,intrastate,1,government,247
Argentina,ARG,1963,1,1,1,minor,intrastate,1,government,247
Argentina,ARG,1974,1,1,1,minor,intrastate,1,government,247
Argentina,ARG,1975,1,1,1,minor,intrastate,0,government,247
Argentina,ARG,1976,1,1,1,minor,intrastate,0,government,247
Argentina,ARG,1977,1,1,1,minor,intrastate,0,government,247
Argentina,ARG,1982,1,1,1,minor,interstate,1,territory,346
Australia,AUS,2003,1,1,2,war,interstate,1,government,420
Azerbaijan,AZE,1991,1,1,1,minor,internationalized intrastate,1,territory,388
Azerbaijan,AZE,1992,1,1,2,war,internationalized intrastate,0,territory,388
Azerbaijan,AZE,1993,1,2,2,war,internationalized intrastate; intrastate,1,government; territory,388; 396
Azerbaijan,AZE,1994,1,1,2,war,intrastate,0,territory,388
Azerbaijan,AZE,1995,1,1,1,minor,intrastate,1,government,396
Azerbaijan,AZE,1997,1,1,1,minor,internationalized intrastate,1,territory,388
Azerbaijan,AZE,1998,1,1,1,minor,internationalized intrastate,0,territory,388
Azerbaijan,AZE,2005,1,1,1,minor,internationalized intrastate,1,territory,388
Azerbaijan,AZE,2008,1,1,1,minor,internationalized intrastate,1,territory,388
Azerbaijan,AZE,2012,1,1,1,minor,internationalized intrastate,1,territory,388
Azerbaijan,AZE,2014,1,1,1,minor,internationalized intrastate,1,territory,388
Azerbaijan,AZE,2015,1,1,1,minor,internationalized intrastate,0,territory,388
Azerbaijan,AZE,2016,1,1,1,minor,internationalized intrastate,0,territory,388
Azerbaijan,AZE,2017,1,1,1,minor,internationalized intrastate,0,territory,388
Azerbaijan,AZE,2020,1,1,2,war,internationalized intrastate,1,territory,388
Azerbaijan,AZE,2021,1,1,1,minor,internationalized intrastate,0,territory,388
Azerbaijan,AZE,2022,1,1,1,minor,internationalized intrastate,0,territory,388
Azerbaijan,AZE,2023,1,1,1,minor,internationalized intrastate,0,territory,388
Burundi,BDI,1965,1,1,1,minor,intrastate,1,government,287
Burundi,BDI,1991,1,1,1,minor,intrastate,1,government,287
Burundi,BDI,1992,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,1994,1,1,1,minor,intrastate,1,government,287
Burundi,BDI,1995,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,1996,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,1997,1,1,2,war,intrastate,0,government,287
Burundi,BDI,1998,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,1999,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,2000,1,1,2,war,intrastate,0,government,287
Burundi,BDI,2001,1,1,2,war,intrastate,0,government,287
Burundi,BDI,2002,1,1,2,war,intrastate,0,government,287
Burundi,BDI,2003,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,2004,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,2005,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,2006,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,2008,1,1,1,minor,intrastate,1,government,287
Burundi,BDI,2014,1,1,1,minor,intrastate,1,government,287
Burundi,BDI,2015,1,1,1,minor,intrastate,0,government,287
Burundi,BDI,2019,1,1,1,minor,internationalized intrastate,1,government,287
Burundi,BDI,2020,1,1,1,minor,internationalized intrastate,0,government,287
Burundi,BDI,2021,1,1,1,minor,internationalized intrastate,0,government,287
Burundi,BDI,2022,1,1,1,minor,internationalized intrastate,0,government,287
Burundi,BDI,2023,1,1,1,minor,internationalized intrastate,0,government,287
Benin,BEN,2022,1,1,1,minor,intrastate,1,government,15256
Benin,BEN,2023,1,1,1,minor,intrastate,0,government,15256
Burkina Faso,BFA,1985,1,1,1,minor,interstate,1,territory,355
Burkina Faso,BFA,1987,1,1,1,minor,intrastate,1,government,360
Burkina Faso,BFA,2018,1,1,1,minor,internationalized intrastate,1,government,360
Burkina Faso,BFA,2019,1,2,1,minor,internationalized intrastate,1,government; territory,13840; 360
Burkina Faso,BFA,2020,1,2,1,minor,internationalized intrastate,0,government; territory,13840; 360
Burkina Faso,BFA,2021,1,2,1,minor,internationalized intrastate,0,government; territory,13840; 360
Burkina Faso,BFA,2022,1,2,2,war,internationalized intrastate,0,government; territory,13840; 360
Burkina Faso,BFA,2023,1,2,2,war,internationalized intrastate; intrastate,0,government; territory,13840; 360
Bangladesh,BGD,1975,1,1,1,minor,intrastate,1,territory,322
Bangladesh,BGD,1976,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1977,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1978,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1979,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1980,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1981,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1982,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1983,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1984,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1985,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1986,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1987,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1988,1,1,1,minor,intrastate,0,territory,322
Bangladesh,BGD,1989,1,1,1,minor,intrastate,0,territory,322
