country_code,year,refugees,asylum_seekers,refugees_plus_asylum
ABW,2022,0,7,7
AFG,2010,3054699,37101,3091800
AFG,2011,2664423,39199,2703622
AFG,2012,2586132,62304,2648436
AFG,2013,2556483,75284,2631767
AFG,2014,2596259,85407,2681666
AFG,2015,2666294,258862,2925156
AFG,2016,2501447,369072,2870519
AFG,2017,2624265,333986,2958251
AFG,2018,2681267,310107,2991374
AFG,2019,2727556,251047,2978603
AFG,2020,2594827,238791,2833618
AFG,2021,2712869,262860,2975729
AFG,2022,5661717,294493,5956210
AFG,2023,6403144,296033,6699177
AGO,2010,134851,710,135561
AGO,2011,128657,773,129430
AGO,2012,19253,1158,20411
AGO,2013,10274,1442,11716
AGO,2014,9468,1718,11186
AGO,2015,11855,3251,15106
AGO,2016,8388,4767,13155
AGO,2017,8292,7819,16111
AGO,2018,8243,8904,17147
AGO,2019,8176,10772,18948
AGO,2020,8196,12402,20598
AGO,2021,11403,12692,24095
AGO,2022,12021,16523,28544
AGO,2023,11506,22824,34330
AIA,2020,0,5,5
AIA,2021,0,5,5
AIA,2022,5,5,10
AIA,2023,0,5,5
ALB,2010,14771,1350,16121
ALB,2011,13552,2193,15745
ALB,2012,12569,3722,16291
ALB,2013,10104,9771,19875
ALB,2014,10156,15098,25254
ALB,2015,10404,42155,52559
ALB,2016,11060,23760,34820
ALB,2017,12168,18761,30929
ALB,2018,13512,21071,34583
ALB,2019,15027,19007,34034
ALB,2020,15523,17628,33151
ALB,2021,19847,22331,42178
ALB,2022,20865,34406,55271
ALB,2023,21919,17539,39458
AND,2010,5,0,5
AND,2011,5,0,5
AND,2012,6,0,6
AND,2013,5,0,5
AND,2014,5,0,5
AND,2015,5,5,10
AND,2016,0,5,5
AND,2017,0,5,5
AND,2020,0,5,5
AND,2021,0,5,5
AND,2022,5,5,10
AND,2023,0,14,14
ARE,2010,418,24,442
ARE,2011,484,6,490
ARE,2012,580,13,593
ARE,2013,84,41,125
ARE,2014,84,68,152
ARE,2015,91,103,194
ARE,2016,103,160,263
ARE,2017,137,207,344
ARE,2018,169,272,441
ARE,2019,155,181,336
ARE,2020,181,181,362
ARE,2021,160,215,375
ARE,2022,199,594,793
ARE,2023,229,171,400
ARG,2010,553,84,637
ARG,2011,506,54,560
ARG,2012,435,41,476
ARG,2013,381,71,452
ARG,2014,311,102,413
ARG,2015,186,160,346
ARG,2016,120,219,339
ARG,2017,121,352,473
ARG,2018,112,489,601
ARG,2019,99,932,1031
ARG,2020,99,1189,1288
ARG,2021,124,1774,1898
ARG,2022,194,2271,2465
ARG,2023,300,4388,4688
ARM,2010,17553,2947,20500
ARM,2011,16491,2652,19143
ARM,2012,15937,2888,18825
ARM,2013,11995,5363,17358
ARM,2014,11839,6287,18126
ARM,2015,11211,8491,19702
ARM,2016,10707,13092,23799
ARM,2017,10786,14907,25693
ARM,2018,11040,13697,24737
ARM,2019,10962,11097,22059
ARM,2020,10334,8850,19184
ARM,2021,12255,9291,21546
ARM,2022,14868,13474,28342
ARM,2023,15072,18378,33450
ATG,2010,28,32,60
ATG,2011,32,32,64
ATG,2012,45,35,80
ATG,2013,50,28,78
ATG,2014,53,15,68
ATG,2015,56,12,68
ATG,2016,82,30,112
ATG,2017,99,63,162
ATG,2018,107,47,154
ATG,2019,117,65,182
ATG,2020,108,51,159
ATG,2021,105,55,160
ATG,2022,58,58,116
ATG,2023,67,51,118
AUS,2010,38,10,48
AUS,2011,38,5,43
AUS,2012,47,5,52
AUS,2013,27,5,32
AUS,2014,27,0,27
AUS,2015,21,0,21
AUS,2016,15,10,25
AUS,2017,10,10,20
AUS,2018,10,17,27
AUS,2019,20,50,70
AUS,2020,20,12,32
AUS,2021,16,21,37
AUS,2022,36,25,61
AUS,2023,29,68,97
AUT,2010,10,0,10
AUT,2011,10,0,10
AUT,2012,15,5,20
AUT,2013,5,10,15
AUT,2014,5,0,5
AUT,2015,0,5,5
AUT,2016,0,5,5
AUT,2017,10,26,36
AUT,2018,24,10,34
AUT,2019,18,10,28
AUT,2020,18,0,18
AUT,2021,23,5,28
AUT,2022,41,17,58
AUT,2023,23,30,53
AZE,2010,16756,2072,18828
AZE,2011,16168,2188,18356
AZE,2012,15541,2187,17728
AZE,2013,10808,3613,14421
