country_code,year,terms_of_trade_index
ABW,2010,61.6
AFG,2010,115.7
AGO,2010,154.1
ALB,2010,104.1
AND,2010,107.8
ARE,2010,114.4
ARG,2010,99.4
ARM,2010,106.1
ASM,2010,139.9
ATG,2010,122.3
AUS,2010,120.6
AUT,2010,103.9
AZE,2010,133.5
BDI,2010,108.7
BEL,2010,100.0
BEN,2010,118.7
BFA,2010,105.2
BGD,2010,81.0
BGR,2010,96.0
BHR,2010,108.4
BHS,2010,88.2
BIH,2010,101.1
BLR,2010,102.5
BLZ,2010,94.4
BMU,2010,92.5
BOL,2010,140.5
BRA,2010,118.5
BRB,2010,101.6
BRN,2010,127.3
BTN,2010,83.8
BWA,2010,71.2
CAF,2010,128.5
CAN,2010,111.9
CHE,2010,99.2
CHL,2010,115.4
CHN,2010,87.0
CIV,2010,101.0
CMR,2010,114.8
COD,2010,102.7
COG,2010,126.4
COL,2010,145.1
COM,2010,72.0
CPV,2010,92.5
CRI,2010,94.0
CUB,2010,115.8
CYM,2010,91.4
CYP,2010,105.9
CZE,2010,100.7
DEU,2010,96.4
DJI,2010,102.0
DMA,2010,100.3
DNK,2010,99.7
DOM,2010,95.8
DZA,2010,119.5
ECU,2010,124.1
EGY,2010,101.3
ERI,2010,114.4
ESP,2010,103.3
EST,2010,103.8
ETH,2010,97.7
FIN,2010,98.1
FJI,2010,106.0
FRA,2010,102.1
FRO,2010,94.4
FSM,2010,93.9
GAB,2010,124.0
GBR,2010,89.5
GEO,2010,105.9
GHA,2010,117.5
GIB,2010,90.8
GIN,2010,122.2
GMB,2010,97.9
GNB,2010,112.9
GNQ,2010,139.5
GRC,2010,99.4
GRD,2010,83.8
GRL,2010,81.1
GTM,2010,102.9
GUM,2010,100.0
GUY,2010,104.7
HKG,2010,99.7
HND,2010,95.9
HRV,2010,100.2
HTI,2010,114.4
HUN,2010,96.9
IDN,2010,108.3
IND,2010,91.5
IRL,2010,112.2
IRN,2010,117.9
IRQ,2010,153.5
ISL,2010,99.1
ISR,2010,87.8
ITA,2010,94.3
JAM,2010,110.4
JOR,2010,108.1
JPN,2010,101.7
KAZ,2010,134.7
KEN,2010,92.8
KGZ,2010,102.8
KHM,2010,87.9
KIR,2010,93.4
KNA,2010,107.8
KOR,2010,96.3
KWT,2010,130.4
LAO,2010,118.5
LBN,2010,97.6
LBR,2010,136.0
LBY,2010,132.7
LCA,2010,120.5
LKA,2010,99.8
LSO,2010,74.0
LTU,2010,96.0
LUX,2010,106.7
LVA,2010,101.0
MAC,2010,98.7
MAR,2010,89.2
MDA,2010,103.8
MDG,2010,84.8
MDV,2010,91.5
MEX,2010,105.1
MHL,2010,100.0
MKD,2010,91.5
MLI,2010,105.5
MLT,2010,97.2
MMR,2010,94.1
MNG,2010,136.9
MNP,2010,50.5
MOZ,2010,113.9
MRT,2010,143.2
MUS,2010,84.9
MWI,2010,101.6
MYS,2010,100.3
NAM,2010,91.4
NCL,2010,143.4
NER,2010,100.9
NGA,2010,132.6
NIC,2010,86.4
NLD,2010,97.4
NOR,2010,112.5
NPL,2010,89.6
NRU,2010,109.1
NZL,2010,92.9
OMN,2010,126.9
PAK,2010,106.0
PAN,2010,103.0
PER,2010,115.1
PHL,2010,100.2
PLW,2010,102.3
PNG,2010,119.3
POL,2010,101.8
PRK,2010,123.5
PRT,2010,96.4
PRY,2010,77.8
PSE,2010,93.2
PYF,2010,61.0
QAT,2010,130.8
ROU,2010,99.1
RUS,2010,115.3
RWA,2010,99.0
SAU,2010,130.8
SEN,2010,97.8
SGP,2010,95.8
SLB,2010,104.3
SLE,2010,121.9
SLV,2010,88.4
SOM,2010,94.8
SRB,2010,97.4
STP,2010,99.0
SUR,2010,110.4
SVK,2010,100.8
SVN,2010,99.9
SWE,2010,102.5
SWZ,2010,104.4
SYC,2010,86.4
SYR,2010,91.2
TCA,2010,94.9
TCD,2010,137.7
TGO,2010,96.8
THA,2010,98.5
TJK,2010,118.5
TKM,2010,113.3
TLS,2010,127.9
TON,2010,106.1
TTO,2010,101.1
TUN,2010,108.2
TUR,2010,93.9
TZA,2010,102.7
UGA,2010,98.3
UKR,2010,122.4
URY,2010,87.4
USA,2010,97.1
UZB,2010,111.2
VCT,2010,99.5
VEN,2010,151.7
VGB,2010,68.8
VNM,2010,96.5
VUT,2010,91.7
WLD,2010,100.1
WSM,2010,98.7
YEM,2010,126.1
ZAF,2010,101.4
ZMB,2010,121.8
ZWE,2010,104.3
ABW,2011,65.6
AFG,2011,116.7
AGO,2011,195.6
ALB,2011,103.5
AND,2011,106.5
ARE,2011,124.9
ARG,2011,109.7
ARM,2011,108.4
ASM,2011,143.3
ATG,2011,120.9
AUS,2011,135.2
AUT,2011,100.5
AZE,2011,160.8
BDI,2011,129.0
BEL,2011,97.8
BEN,2011,121.0
BFA,2011,121.1
BGD,2011,76.8
BGR,2011,95.1
BHR,2011,118.0
BHS,2011,91.2
BIH,2011,99.6
BLR,2011,111.6
BLZ,2011,107.0
BMU,2011,89.5
BOL,2011,165.9
BRA,2011,127.3
BRB,2011,95.0
BRN,2011,137.5
BTN,2011,82.8
BWA,2011,80.8
CAF,2011,125.2
CAN,2011,114.5
CHE,2011,96.1
CHL,2011,117.2
CHN,2011,83.8
CIV,2011,100.0
CMR,2011,115.2
COD,2011,108.2
COG,2011,148.9
COL,2011,166.5
COM,2011,75.7
CPV,2011,93.5
CRI,2011,91.7
CUB,2011,110.5
CUW,2011,107.6070549736
CYM,2011,88.8
CYP,2011,104.3
CZE,2011,99.9
DEU,2011,93.5
DJI,2011,105.5
DMA,2011,103.3
DNK,2011,99.8
DOM,2011,94.1
DZA,2011,139.4
