school_name,gender,jersey_number,name,position,class_year,height,hometown,high_school_club,sport,year,archive_url,country_code,country_match_confidence
Abilene Christian University,Men,,Chase Allison,,Jr.,6' 1'',"Robinson, Texas",Robinson HS,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Jake Bay,,Jr.,5' 10'',"Shattuck, Okla.",Previous School: Garden City CC,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Brian Choe,,So.,5' 10'',"Coppell, Texas",Previous School: Kansas State,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Alex Clouse,,Jr.,6' 0'',"Flower Mound, Texas",Marcus HS,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Jack Connor,,R-Sr.,6' 0'',"Southlake, Texas",Previous School: Southlake Carroll HS,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Logan Diomede,,Fr.,5' 7'',"Argyle, Texas",Argyle HS,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Bryce Dooley,,Sr.,5' 11'',"Friendswood, Texas",Previous School: Friendswood HS,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Ethan Eppinette,,So.,5' 10'',"Texarkana, Texas",Home School,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Zane Heusel,,Fr.,6' 5'',"Edmond, Okla.",Edmond Memorial HS,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Francisco Osio,,So.,6' 0'',"Mexico City, Mexico",Previous School: Spring Creek Academy,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,MEX,exact
Abilene Christian University,Men,,Bill Ramage,,Sr.,6' 1'',"Farmers Branch, Texas",North Hills Preparatory,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Daniel Seibert,,Jr.,5' 10'',"Waco, Texas",Midway HS,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Alec Wilson,,Fr.,6' 3'',"McKinney, Texas",Previous School: North Texas,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,USA,exact
Abilene Christian University,Men,,Tom Shaw,,,,,,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,,missing
Abilene Christian University,Men,,Rob Bennett,,,,,,golf,2019,https://acusports.com/sports/mens-golf/roster/2019-20,,missing
Abilene Christian University,Men,,Chase Allison,,Sr.,6' 1'',"Robinson, Texas",Robinson HS,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Jake Bay,,Sr.,5' 11'',"Shattuck, Okla.",Previous School: Garden City CC,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Brian Choe,,Jr.,5' 10'',"Coppell, Texas",Previous School: Kansas State,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Alex Clouse,,Sr.,6' 0'',"Flower Mound, Texas",Marcus HS,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Logan Diomede,,So.,5' 7'',"Argyle, Texas",Argyle HS,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Zane Heusel,,So.,6' 5'',"Edmond, Okla.",Edmond Memorial HS,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Charlie Jackson,,Fr.,6' 2'',"Norman, Oklahoma",Norman North HS,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Cade Osgood,,Gr.,6' 0'',"Austin, Texas",Previous School: Southwestern University,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Francisco Osio,,Jr.,6' 1'',"Mexico City, Mexico",Previous School: Spring Creek Academy,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,MEX,exact
Abilene Christian University,Men,,Daniel Seibert,,Sr.,5' 10'',"Waco, Texas",Midway HS,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Joris Spanjer,,Jr.,5' 10'',"Hengelo, Netherlands",Grundel Lyceum,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,NLD,exact
Abilene Christian University,Men,,Alec Wilson,,Jr.,6' 3'',"McKinney, Texas",Previous School: North Texas,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,USA,exact
Abilene Christian University,Men,,Tom Shaw,,,,,,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,,missing
Abilene Christian University,Men,,Rob Bennett,,,,,,golf,2020,https://acusports.com/sports/mens-golf/roster/2020-21,,missing
Abilene Christian University,Men,,Jake Bay,,Sr.,5' 11'',"Shattuck, Okla.",Previous School: Garden City CC,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,USA,exact
Abilene Christian University,Men,,Brian Choe,,Sr.,5' 10'',"Coppell, Texas",Previous School: Kansas State,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,USA,exact
Abilene Christian University,Men,,Alex Clouse,,Gr.,6' 0'',"Flower Mound, Texas",Marcus HS,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,USA,exact
Abilene Christian University,Men,,Logan Diomede,,Jr.,5' 7'',"Argyle, Texas",Argyle HS,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,USA,exact
Abilene Christian University,Men,,Zane Heusel,,Jr.,6' 5'',"Edmond, Okla.",Edmond Memorial HS,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,USA,exact
Abilene Christian University,Men,,Charlie Jackson,,So.,6' 2'',"Norman, Oklahoma",Norman North HS,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,USA,exact
Abilene Christian University,Men,,Jaime Lewis,,Fr.,5' 8'',"Johannesburg, South Africa",St Stithians Boys' College,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,ZAF,exact
Abilene Christian University,Men,,Francisco Osio,,Sr.,6' 1'',"Mexico City, Mexico",Previous School: Spring Creek Academy,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,MEX,exact
Abilene Christian University,Men,,Charles Roper,,Fr.,6' 8'',"Sunninghill, UK",Gordon's School,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,GBR,exact
Abilene Christian University,Men,,Joris Spanjer,,Jr.,5' 11'',"Hengelo, Netherlands",Grundel Lyceum,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,NLD,exact
Abilene Christian University,Men,,Alec Wilson,,Sr.,6' 3'',"McKinney, Texas",Previous School: North Texas,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,USA,exact
Abilene Christian University,Men,,Tom Shaw,,,,,,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,,missing
Abilene Christian University,Men,,Mason Banger,,,,,,golf,2022,https://acusports.com/sports/mens-golf/roster/2022-23,,missing
Abilene Christian University,Men,,Thomas Buisson,,So.,6' 0'',"Bordeaux, France",Lycée de la Mer,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,FRA,exact
Abilene Christian University,Men,,Brian Comegys,,So.,5' 9'',"The Hills, Texas",Lake Travis HS,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,USA,exact
Abilene Christian University,Men,,Preston Cooper,,Fr.,6' 3'',"Dallas, Texas",Highland Park HS,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,USA,exact
Abilene Christian University,Men,,Preston DeFriend,,Fr.,6' 0'',"Lubbock, Texas",Coronado HS,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,USA,exact
Abilene Christian University,Men,,Zane Heusel,,Sr.,6' 5'',"Edmond, Okla.",Edmond Memorial HS,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,USA,exact
Abilene Christian University,Men,,Grégoire Hoyeau,,So.,6' 0'',"Paris, France",Lycée Diagonale,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,FRA,exact
Abilene Christian University,Men,,Charlie Jackson,,Sr.,6' 2'',"Norman, Oklahoma",Norman North HS,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,USA,exact
Abilene Christian University,Men,,Trenton Johnson,,Sr.,5' 9'',"Brentwood, Tenn.",Previous School: Tennessee,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,USA,exact
Abilene Christian University,Men,,Jaime Lewis,,Jr.,5' 8'',"Johannesburg, South Africa",St Stithians Boys' College,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,ZAF,exact
Abilene Christian University,Men,,Tom Shaw,,,,,,golf,2023,https://acusports.com/sports/mens-golf/roster/2023-24,,missing
